ID,Árbitro,Datos,Foto
Abal,Diego Abal,sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEgty4IVlpmGOIqVInovXB0scxY1Ec1_K07fLbIrEqYVLSTB9lfxmRaXsI2f4pcNuJLW5BmJCrBliodhwQXcB9jrJVOqSL3AxpGc2n7od9obmhSVimMGURl5k8F70PuBSJR5o0_Qj_j2MsaFK7RGQswynY7z9hdj-1NiN7Azf-ZMe-Bzb0BNmOu20K5i-4LW
Álvarez,Luis Álvarez,sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEgxx5Wd5xBgs1xOuf9Y0Mlb3fPLhfKMmtliaOO9JuUVcRrbS_AjiXgcXXstokOMw4fby--N4RIm6IcKcsE4I8oxCpy6QJILJo4CGKf35lZsXhzEAlusYdY2QjBKScRMLOrBiAnc4HZD5fwNK8pOGPFCH-Ho9CjQJ6_ApW399WpcUfkVslf_2PnoGIv4JvJm=w135-h181
Aquino,Éber Aquino (Paraguay),sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEgJLnZIChh6UXFZ9YC4vMjb15TZyoeYbRE6FRq3le-9of1C2QZx_co_9nS6HiZ3U0Vd7YQidEuWxKJZvTZl4k46Ke6FA2g4oNgS7ZQYNKwgNagf6oiBsUYH-eeiEgLGcBa-Gk6dfFS2QoBIoEoZVIYvVRmY1rGsdxfmMj8PZ46xWj2xGc4csF8YuGizocfa
Aragón,Augusto Aragón (Ecuador),sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEhSgwwmijs3mIXYLr9iEfL_cKWs6wyOkhNfTP9sIGtwuZ9xiUK6HN7KsvdPCbMnkmnaoweyCmApbYYuYxjpLbaXvDbH3DfIXID8Jw9ntaHJ-eOhFVVJDdaVjHcMVBbZPEZR5AgFjVSm44v9TQR_PlzAodhrjmz7e35tt1AqlIxXyVQJwjiNddP_SBOyP3fB
Arasa,Nazareno Arasa,sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEg8Mgw5bl-t1yDMVGKDOq_y7gsefAK_8u74llDPSsFYxR1l0YgWvFKr1HIrG4tiyLLcTklQa-LZvv6jQ_FmEarxnvam5VUwwL8h7qB-ZueI47QI5yokmbv2DxEW4k9SDbHYlIh1s7W5aTphWV5Jg4dnDeSbS2GK5ZYuIG-TClQH0Wcpx_xh-ibIhIVeIpfh
Araujo,Bruno Araujo (Brasil),sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEjmGQyruPbjJ0yRtIbdGi3FKGfus_Tzstzjnjt9q5Lt5lMGGWBPsTVjyHMvH6CjKBxRGN6veovZjGMDI6JwS3lbsqAgmimud0v2-har0lKLTGineocUSsZ2C6A1V3PENWiBJzA35elAPhCz5h4mIPsnfL0yV2DkvHozBil3cTa0O4Kr33h1QLGad8oC-LAQ
Argañazaz,Pedro Argañaraz,sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEggIfKO_EBJ-g_ukc-kbSpCJ99y90JzdlYHL_5st3f90F99INVaWdtbe6iVmuYsDLFJZ6G7MMaq9LMyFa2UUK37hGsWel2ev3ldoDzOMYOP6SMznMgmfb1iDU8hQAAT-xg7plPbIjv5DsQiBkU2O_d9bwqj-72siApjuu4es_0oXAKdR7VMaXwp7cYVanhQ
Argote,José Argote (Venezuela),"trabajaba para la Federación Venezolana pero había nacido en Colombia, lo que generó una gran controvercia cuando Huracán debió enfrentar en Colombia al Atlético Nacional, bajo su arbitraje poco imparcial.",https://blogger.googleusercontent.com/img/a/AVvXsEgw8oLXcwbJj-YRm9MLuQJcO5W_RJsXJXfn6E9Bt48S-YiyEVFtdklxAzUny_RmTvLm_IHO-x3YfIy1tUwl-pWVjoo-6d4HYFmRfjG_M2LnFVrCX_MZ6IJ0QsBMiIketDEkkxRZddWKWy1_P3vvprkQJ8NPTBKwpPkBcWLLc0qO1OzDYWipkX1rDzs_QkvC=w127-h170
Arias,Antonio Arias (Paraguay),sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEjNhO6Yq-WkspNyvV6V--2JBoH9D8Y4XLWimOCBLMb7NEgS5ysROjxFCRunPJkn_ghiUKCWLmLYumw3hujdSQ5wS8rcPoQBKgIwyJGWjzlKgUKE7tCO6igwbHb5B-btZJia6R8N_IfYyOw9hL3xSo1GBKyjedDYvcQip3HEIlxPt7UUvo89mqQ7jU1D7Xm4
Arman,Federico Arman (Uruguay),sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEiM-9H_ZRoPp1QMjBbflOK285nD2z6tpRQuXliTQMSPOzzGYTEciDqR8dzB4yQ9VyW4Q5GvRi8DS1T__baexAF_CVjMMGuRnLIInjCyDcUu20Ng0Wgn4CIeHb3DG9y3PPz-pOmrva9Vy-ciZROvYJ53CLPxG58-lVzp2NCqT6WAjxVcucnLj4WD_UKurqoU
